 Commenter , Information Requested , Type of Information Needed 
 Health Level Seven (HL7) International , Input on the opportunities and challenges of using HL7 FHIR for clinical study data submissions collected from RWD sources , Business process and technical considerations for implementing HL7 FHIR 
 Health Level Seven (HL7) International , Suggestions on how to reach a future state of clinical study data submissions collected from RWD sources that aligns with ASTP/ONC health IT goals ," Strategic recommendations on data standards, interoperability, and clinical research implementation guides "
 Health Level Seven (HL7) International , Engagement with FDA on the development of FHIR-API enabled clinical registries and exploration of clinical registries' success in capturing and using RWD ," Expertise and collaboration on clinical research, data exchange, and registry development "
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before committee meetings , Procedural/Regulatory 
 Not specified (public commenter) ," Universal access to updated COVID vaccines for all ages, with full coverage by public funds/insurance every six months ", Policy/Regulatory 
 Not specified (public commenter) , Vaccine schedule addressing waning efficacy and emerging new strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all three manufacturers , Policy/Regulatory 
 Not specified (public commenter) ," Support for alternative vaccine administration methods (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations for anticipation of next dominant strain and matching vaccine variants , Scientific/Technical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Socioeconomic 
 Not specified (public commenter) , Revival of programs like the CDC bridge program for no-cost access to vaccines , Policy/Regulatory 
 Not specified (public commenter) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial analyses , Administrative/Accountability 
 --- , --- , --- 
 Various individuals and organizations ," Data on COVID-19 vaccine safety, efficacy, and adverse events ", Scientific data and research studies 
 Edward Dowd and Financial Analyst , Information on disability claims among women after COVID-19 vaccination , Statistical data and analysis 
 Florida Surgeon General Joseph Ladapo , Investigation into DNA contamination in COVID-19 mRNA vaccines , Scientific research and testing 
 Dr. Pierre Kory , Data on severe post-vaccination adverse reactions , Clinical trial data and adverse event reports 
 Disabled Veteran , Analysis of obituary data for vaccine-induced excess deaths , Statistical analysis and correlation studies 
 Multiple researchers and experts , transparency and disclosure of COVID-19 vaccine safety data , Regulatory documents and transparency 
 FDA , Review of vaccine safety and efficacy data , Scientific review and evaluation 
 CDC , Release of vaccine safety database and adverse event reports , Regulatory compliance and transparency 
 World Economic Forum , Development of digital IDs and tracking of unvaccinated individuals , Policy and regulatory frameworks 
 Multiple experts and researchers , Moratorium on mRNA vaccines and removal from childhood schedule , Policy and regulatory recommendations 
 FDA and CDC , Investigation into vaccine shedding and transmission , Scientific research and testing 
 Pfizer and Moderna , Disclosure of vaccine safety and efficacy data , Regulatory compliance and transparency 
 Various individuals and organizations , Compensation for vaccine injuries and deaths , Regulatory compliance and compensation programs 
 NIH , Response to inquiries on COVID-19 vaccine injuries , Regulatory compliance and customer service 
 WHO , Transparency and accountability in international health regulations , Regulatory compliance and transparency 
 US Government , Reconsideration of COVID-19 vaccine mandates and policies , Policy and regulatory recommendations 
 --- , --- , --- 
" Interest of Justice (Dustin Bryce Rosondich, Xylie Desiree Eshleman) ", Immediate reclassification of COVID-19 mRNA and adenoviral vector products as gene therapy products ," Regulatory action, classification, and enforcement "
" Interest of Justice (Dustin Bryce Rosondich, Xylie Desiree Eshleman) ", Amendment of product classifications to reflect gene therapy status ," Regulatory change, classification "
" Interest of Justice (Dustin Bryce Rosondich, Xylie Desiree Eshleman) ", Revision of minimal risk designation for COVID-19 mRNA and adenoviral vector products ," Risk assessment, regulatory change "
" Interest of Justice (Dustin Bryce Rosondich, Xylie Desiree Eshleman) ", Product labeling requirements to reflect experimental nature and gene therapy classification ," Labeling, warning, and risk communication "
" Interest of Justice (Dustin Bryce Rosondich, Xylie Desiree Eshleman) ", Formal rulemaking for classification standards based on mechanism of action ," Regulatory framework, rulemaking "
